Component Count:,61,,
Ref,Qnty,Value,
"C1, C2, ",2,6.8nF,C1608C0G1H682J
"C3, C5, ",2,10nF,GRM188B11H103K
"C4, ",1,4.7uF,LMK107BJ475KA-T
"C6, C17, C23, ",3,10uF/16V,
"C7, C11, C12, C13, C14, C15, C16, C20, ",8,0.1uF,C0603C104Z3VACTU
"C8, C9, ",2,18pF,GRM1885C1H180JA01D
"C21, ",1,1nF/2kV,HV1812Y102KXHATHV
"C22, ",1,22nF,GRM188R71H223KA01D
"C24, ",1,1uf,0603YD105KAT2A
"CN1, ",1,10pins,
"CN2, ",1,8pins,
"CN3, ",1,6pins,
"CN4, ",1,8pins,
"D1, ",1,1S4,
"L1, ",1,BLM18PG121SN1D,
"LED1, ",1,GREEN,OSYG1608C1A
"R0, R1, R2, R3, R14, ",5,0,RC0603JR-070RL
"R4, R5, R7, R8, ",4,49.9,RR1220Q-49R99-D-M
"R6, ",1,10,RMCF1210JT10R0
"R9, R10, R20, ",3,330,RC0603J-330R
"R11, ",1,12k,RR1220P-123-D
"R12, ",1,400,RR1220P-401-D
"R13, ",1,1M,RC0603JR-071ML
"R21, R22, R23, R24, R25, R26, ",6,10k,RC0603JR-074K7L
"R27, R28, ",2,4.7k,RC0603JR-074K7L
"U1, ",1,J1B1211CCD,
"U2, ",1,24AA025E4BT,
"U3, ",1,W5500,
"U4, ",1,Jumper,
"U5, ",1,NJM2391DL1-33,
"U6, ",1,jumper6,
"U7, U8, ",2,jumper8,
"Y1, ",1,Crystal,ABM3-25MHZ-D2Y-T
